"Date","Time","Open","High","Low","Close","Volume"
01/02/2024,08:01,139.03,139.03,139.03,139.03,356
01/02/2024,09:31,138.19,138.19,138.1332,138.1332,14344
01/02/2024,09:32,138.11,138.11,138.02,138.02,400
01/02/2024,09:33,138.08,138.08,138.08,138.08,200
01/02/2024,09:34,138.085,139,138.085,138.8,2542
01/02/2024,09:35,138.81,139.27,138.79,139.27,1103
01/02/2024,09:36,139.37,139.37,139.21,139.21,200
01/02/2024,09:37,139.05,139.2,138.9852,139.2,723
01/02/2024,09:38,139.2275,139.36,139.1,139.17,2724
01/02/2024,09:39,139.0899,139.21,139.0899,139.13,1101
01/02/2024,09:40,139.035,139.035,138.64,138.64,521
01/02/2024,09:41,138.54,138.57,138.49,138.49,401
01/02/2024,09:42,138.74,139.31,138.74,139.31,800
01/02/2024,09:43,139.415,139.59,139.3935,139.59,533
01/02/2024,09:44,139.55,139.72,139.48,139.6,1200
01/02/2024,09:45,139.59,139.77,139.59,139.77,811
01/02/2024,09:46,139.845,139.86,139.845,139.86,200
01/02/2024,09:47,139.86,139.86,139.7,139.7,300
01/02/2024,09:48,139.64,139.8,139.61,139.77,2131
01/02/2024,09:49,139.62,139.78,139.52,139.69,4145
01/02/2024,09:50,139.69,139.8,139.6,139.6325,800
01/02/2024,09:51,139.52,139.71,139.52,139.71,1100
01/02/2024,09:52,139.623,139.86,139.623,139.83,957
01/02/2024,09:53,139.79,139.885,139.77,139.83,700
01/02/2024,09:54,139.89,139.93,139.77,139.79,1624
01/02/2024,09:55,139.84,139.91,139.79,139.79,600
01/02/2024,09:56,139.79,139.89,139.78,139.87,1186
01/02/2024,09:57,139.62,139.7,139.62,139.7,600
01/02/2024,09:58,139.71,139.79,139.68,139.79,1159
01/02/2024,09:59,139.805,139.98,139.805,139.98,1183
01/02/2024,10:00,139.96,140.09,139.94,140.075,4893
01/02/2024,10:01,140.1,140.38,140.1,140.38,2533
01/02/2024,10:02,140.385,140.59,140.385,140.575,984
01/02/2024,10:03,140.47,140.51,140.39,140.48,2000
01/02/2024,10:04,140.49,140.5075,140.29,140.31,1300
01/02/2024,10:05,140.29,140.29,140.1822,140.25,1800
01/02/2024,10:06,140.25,140.34,140.235,140.34,919
01/02/2024,10:07,140.18,140.37,140.18,140.3,700
01/02/2024,10:08,140.29,140.29,140.22,140.27,932
01/02/2024,10:09,140.03,140.15,139.92,139.975,1900
01/02/2024,10:10,139.91,140.05,139.82,140.01,2366
01/02/2024,10:11,140.05,140.12,140.05,140.08,1893
01/02/2024,10:12,139.93,139.93,139.7768,139.78,1314
01/02/2024,10:13,139.82,140.02,139.82,139.97,1610
01/02/2024,10:14,139.975,140.11,139.975,140.05,2120
01/02/2024,10:15,140.06,140.13,140.0067,140.085,1276
01/02/2024,10:16,140.08,140.12,140.015,140.11,1227
01/02/2024,10:17,140.08,140.19,140.08,140.15,1857
01/02/2024,10:18,140.15,140.4,140.1,140.37,5331
01/02/2024,10:19,140.4,140.44,140.23,140.25,2178
01/02/2024,10:20,140.2646,140.34,140.16,140.31,7969
01/02/2024,10:21,140.28,140.32,140.24,140.27,2021
01/02/2024,10:22,140.28,140.37,140.28,140.34,1097
01/02/2024,10:23,140.335,140.335,140.25,140.29,1728
01/02/2024,10:24,140.28,140.36,140.28,140.325,1600
01/02/2024,10:25,140.33,140.355,140.26,140.26,1950
01/02/2024,10:26,140.27,140.355,140.23,140.23,1948
01/02/2024,10:27,140.195,140.22,140.16,140.17,1315
01/02/2024,10:28,140.11,140.12,140.04,140.1,700
01/02/2024,10:29,139.99,139.99,139.985,139.99,500
01/02/2024,10:30,139.99,139.99,139.98,139.98,1000
01/02/2024,10:31,139.92,139.96,139.92,139.96,900
01/02/2024,10:32,139.955,139.98,139.859,139.98,1328
01/02/2024,10:33,139.98,139.98,139.92,139.955,700
01/02/2024,10:34,140,140.05,139.995,140,1152
01/02/2024,10:35,139.98,140.14,139.98,140.14,1499
01/02/2024,10:36,140.16,140.16,140.0631,140.0631,914
01/02/2024,10:37,139.96,139.96,139.9019,139.9019,450
01/02/2024,10:38,139.9052,139.9739,139.9,139.92,2285
01/02/2024,10:39,139.85,139.93,139.81,139.81,934
01/02/2024,10:40,139.82,140.15,139.82,140.148,2896
01/02/2024,10:41,140.1075,140.11,140.035,140.035,1548
01/02/2024,10:42,139.88,139.88,139.86,139.86,200
01/02/2024,10:43,139.82,139.82,139.795,139.795,200
01/02/2024,10:44,139.8,140.07,139.8,140.07,3036
01/02/2024,10:45,140.05,140.13,140.04,140.08,1400
01/02/2024,10:46,140.05,140.05,139.93,139.98,1033
01/02/2024,10:47,139.95,139.96,139.91,139.92,1012
01/02/2024,10:48,139.94,140,139.85,139.88,941
01/02/2024,10:49,139.885,139.885,139.83,139.83,2296
01/02/2024,10:50,139.835,139.86,139.73,139.74,2342
01/02/2024,10:51,139.8,139.8,139.79,139.79,200
01/02/2024,10:52,139.83,140.09,139.83,140.045,1743
01/02/2024,10:53,140.01,140.09,140,140.08,1000
01/02/2024,10:54,140.02,140.03,139.98,140.03,704
01/02/2024,10:55,139.97,139.97,139.93,139.93,500
01/02/2024,10:56,139.87,139.87,139.87,139.87,100
01/02/2024,10:57,139.95,139.97,139.84,139.84,2641
01/02/2024,10:58,139.804,139.86,139.804,139.845,730
01/02/2024,10:59,139.85,139.9,139.8,139.86,1807
01/02/2024,11:00,139.84,139.845,139.82,139.83,1137
01/02/2024,11:01,139.83,139.84,139.79,139.79,900
01/02/2024,11:02,139.83,139.87,139.83,139.83,750
01/02/2024,11:03,139.88,139.93,139.875,139.9,1533
01/02/2024,11:04,139.895,139.93,139.85,139.9,1170
01/02/2024,11:05,139.93,139.93,139.83,139.89,2010
01/02/2024,11:06,139.81,139.82,139.74,139.74,801
01/02/2024,11:07,139.69,139.69,139.655,139.665,845
01/02/2024,11:08,139.6323,139.72,139.6323,139.635,900
01/02/2024,11:09,139.69,139.745,139.69,139.745,500
01/02/2024,11:10,139.78,139.93,139.78,139.93,1471
01/02/2024,11:11,139.91,140,139.85,139.9,3495
01/02/2024,11:12,139.865,139.945,139.805,139.805,500
01/02/2024,11:13,139.785,139.785,139.58,139.58,2568
01/02/2024,11:14,139.52,139.545,139.52,139.545,600
01/02/2024,11:15,139.58,139.63,139.575,139.62,1886
01/02/2024,11:16,139.61,139.74,139.58,139.71,6926
01/02/2024,11:17,139.75,139.77,139.6,139.605,2839
01/02/2024,11:18,139.59,139.59,139.565,139.565,500
01/02/2024,11:19,139.57,139.6,139.535,139.6,715
01/02/2024,11:20,139.535,139.535,139.47,139.485,600
01/02/2024,11:21,139.53,139.53,139.47,139.475,1200
01/02/2024,11:22,139.4775,139.55,139.475,139.505,1056
01/02/2024,11:23,139.56,139.64,139.55,139.58,1656
01/02/2024,11:24,139.595,139.595,139.565,139.565,600
01/02/2024,11:25,139.52,139.59,139.4,139.59,2252
01/02/2024,11:26,139.51,139.51,139.51,139.51,100
01/02/2024,11:28,139.49,139.49,139.49,139.49,100
01/02/2024,11:29,139.48,139.52,139.48,139.52,300
01/02/2024,11:30,139.5,139.56,139.5,139.56,528
01/02/2024,11:31,139.55,139.59,139.54,139.54,1030
01/02/2024,11:32,139.54,139.59,139.54,139.55,547
01/02/2024,11:33,139.51,139.57,139.51,139.545,600
01/02/2024,11:35,139.57,139.6106,139.57,139.6106,1136
01/02/2024,11:36,139.61,139.64,139.54,139.54,1476
01/02/2024,11:38,139.5,139.5,139.435,139.47,1112
01/02/2024,11:39,139.43,139.43,139.4,139.4,776
01/02/2024,11:40,139.4,139.4,139.36,139.36,962
01/02/2024,11:41,139.35,139.35,139.32,139.35,579
01/02/2024,11:42,139.37,139.38,139.3,139.38,1640
