"Date","Time","Open","High","Low","Close","Volume"
01/02/2024,04:03,34.75,34.75,34.75,34.75,100
01/02/2024,04:06,35,35,35,35,121
01/02/2024,04:15,34.71,34.71,34.71,34.71,100
01/02/2024,04:54,34.2,34.2,34.2,34.2,296
01/02/2024,05:28,34.3,34.32,34.3,34.32,2189
01/02/2024,06:21,34.25,34.25,34.25,34.25,200
01/02/2024,06:25,34.25,34.25,34.25,34.25,7501
01/02/2024,07:11,33.88,33.88,33.88,33.88,189
01/02/2024,07:27,33.89,33.89,33.89,33.89,120
01/02/2024,07:49,33.83,33.83,33.83,33.83,500
01/02/2024,08:01,33.8318,33.8318,33.67,33.67,300
01/02/2024,08:13,33.67,33.67,33.67,33.67,446
01/02/2024,08:14,33.52,33.52,33.51,33.51,364
01/02/2024,08:16,33.5,33.5,33.5,33.5,100
01/02/2024,08:32,33.57,33.57,33.57,33.57,228
01/02/2024,08:33,33.57,33.57,33.57,33.57,100
01/02/2024,08:38,33.6,33.6,33.6,33.6,150
01/02/2024,08:44,33.55,33.55,33.55,33.55,100
01/02/2024,08:45,33.55,33.55,33.55,33.55,100
01/02/2024,08:51,33.6485,33.6485,33.6485,33.6485,100
01/02/2024,08:53,33.6,33.61,33.6,33.61,1500
01/02/2024,08:54,33.61,33.61,33.61,33.61,100
01/02/2024,08:58,33.6,33.62,33.6,33.62,577
01/02/2024,09:01,33.59,33.59,33.59,33.59,100
01/02/2024,09:04,33.55,33.55,33.55,33.55,344
01/02/2024,09:10,33.6,33.6,33.6,33.6,419
01/02/2024,09:11,33.55,33.55,33.55,33.55,100
01/02/2024,09:13,33.53,33.53,33.53,33.53,100
01/02/2024,09:14,33.59,33.6,33.53,33.53,1003
01/02/2024,09:15,33.54,33.54,33.5,33.5,1127
01/02/2024,09:16,33.4003,33.51,33.4,33.51,1120
01/02/2024,09:17,33.52,33.52,33.52,33.52,298
01/02/2024,09:24,33.46,33.46,33.46,33.46,100
01/02/2024,09:26,33.44,33.44,33.44,33.44,123
01/02/2024,09:31,33.43,33.53,33.43,33.45,11459
01/02/2024,09:32,33.49,33.53,33.27,33.425,80989
01/02/2024,09:33,33.47,33.54,33.4395,33.51,7352
01/02/2024,09:34,33.54,33.6135,33.5,33.5858,8247
01/02/2024,09:35,33.57,33.65,33.5,33.65,10209
01/02/2024,09:36,33.605,33.65,33.53,33.5497,14542
01/02/2024,09:37,33.54,33.75,33.525,33.74,6957
01/02/2024,09:38,33.74,33.75,33.61,33.62,7864
01/02/2024,09:39,33.62,33.69,33.6,33.6,8191
01/02/2024,09:40,33.6321,33.67,33.61,33.66,8999
01/02/2024,09:41,33.68,33.72,33.58,33.58,8221
01/02/2024,09:42,33.56,33.6,33.53,33.53,5064
01/02/2024,09:43,33.5435,33.7123,33.54,33.7123,9131
01/02/2024,09:44,33.72,33.73,33.58,33.6,6507
01/02/2024,09:45,33.59,33.67,33.57,33.59,5510
01/02/2024,09:46,33.595,33.64,33.515,33.52,6043
01/02/2024,09:47,33.52,33.56,33.43,33.43,5626
01/02/2024,09:48,33.42,33.42,33.35,33.35,20384
01/02/2024,09:49,33.36,33.4,33.32,33.3901,11383
01/02/2024,09:50,33.38,33.47,33.37,33.45,8343
01/02/2024,09:51,33.435,33.56,33.43,33.56,10589
01/02/2024,09:52,33.5642,33.62,33.54,33.62,7728
01/02/2024,09:53,33.59,33.66,33.5702,33.6009,17134
01/02/2024,09:54,33.57,33.57,33.51,33.52,1719
01/02/2024,09:55,33.52,33.5481,33.48,33.48,10652
01/02/2024,09:56,33.4701,33.6,33.4701,33.58,12872
01/02/2024,09:57,33.59,33.62,33.53,33.541,4010
01/02/2024,09:58,33.52,33.549,33.475,33.549,5430
01/02/2024,09:59,33.56,33.63,33.56,33.59,3150
01/02/2024,10:00,33.57,33.6301,33.57,33.63,2600
01/02/2024,10:01,33.65,33.68,33.63,33.68,4701
