"Date","Time","Open","High","Low","Close","Volume"
01/02/2024,07:04,20.49,20.49,20.49,20.49,4200
01/02/2024,08:01,20.48,20.49,20.48,20.49,1500
01/02/2024,08:08,20.47,20.47,20.47,20.47,238
01/02/2024,08:35,20.5,20.5,20.5,20.5,500
01/02/2024,09:14,20.46,20.46,20.455,20.455,4650
01/02/2024,09:31,20.455,20.46,20.455,20.46,12439
01/02/2024,09:32,20.45,20.46,20.45,20.46,800
01/02/2024,09:33,20.46,20.47,20.46,20.47,4354
01/02/2024,09:34,20.47,20.48,20.47,20.47,10600
01/02/2024,09:35,20.48,20.485,20.48,20.485,2600
01/02/2024,09:36,20.49,20.5,20.48,20.49,8875
01/02/2024,09:37,20.49,20.5,20.49,20.5,2800
01/02/2024,09:38,20.495,20.5,20.495,20.5,643
01/02/2024,09:39,20.4917,20.4917,20.49,20.49,400
01/02/2024,09:40,20.48,20.48,20.47,20.47,3188
01/02/2024,09:41,20.4699,20.4701,20.46,20.46,15648
01/02/2024,09:42,20.47,20.47,20.465,20.465,4460
01/02/2024,09:43,20.45,20.45,20.4299,20.43,17219
01/02/2024,09:44,20.43,20.438,20.43,20.438,6900
01/02/2024,09:45,20.44,20.46,20.44,20.455,16265
01/02/2024,09:46,20.4699,20.49,20.4699,20.488,11107
01/02/2024,09:47,20.495,20.495,20.4852,20.4852,6498
01/02/2024,09:48,20.48,20.48,20.48,20.48,4600
01/02/2024,09:50,20.4603,20.47,20.46,20.47,4240
01/02/2024,09:51,20.47,20.48,20.47,20.48,12114
01/02/2024,09:52,20.49,20.4942,20.49,20.49,9388
01/02/2024,09:53,20.49,20.5,20.49,20.5,24442
01/02/2024,09:54,20.5,20.5,20.5,20.5,500
01/02/2024,09:55,20.498,20.498,20.498,20.498,950
01/02/2024,09:57,20.4864,20.4864,20.4864,20.4864,3751
01/02/2024,09:58,20.48,20.4812,20.4701,20.4812,7151
01/02/2024,09:59,20.49,20.4901,20.49,20.4901,7695
01/02/2024,10:00,20.5,20.5,20.5,20.5,3000
01/02/2024,10:01,20.5,20.51,20.5,20.51,200
01/02/2024,10:02,20.5,20.5,20.5,20.5,854
01/02/2024,10:03,20.499,20.499,20.499,20.499,200
01/02/2024,10:04,20.4836,20.4836,20.4836,20.4836,200
01/02/2024,10:05,20.48,20.48,20.48,20.48,3000
01/02/2024,10:06,20.48,20.48,20.48,20.48,5400
01/02/2024,10:07,20.4885,20.4885,20.48,20.48,1410
01/02/2024,10:08,20.49,20.49,20.49,20.49,3575
01/02/2024,10:09,20.48,20.481,20.4795,20.4795,900
01/02/2024,10:11,20.48,20.48,20.4799,20.4799,4000
01/02/2024,10:12,20.47,20.4715,20.47,20.47,7536
01/02/2024,10:13,20.47,20.47,20.47,20.47,2400
01/02/2024,10:16,20.479,20.479,20.4788,20.4788,400
01/02/2024,10:17,20.47,20.47,20.47,20.47,2300
01/02/2024,10:18,20.45,20.45,20.45,20.45,600
01/02/2024,10:19,20.45,20.455,20.45,20.455,10412
01/02/2024,10:20,20.46,20.46,20.45,20.45,8000
01/02/2024,10:23,20.46,20.46,20.45,20.45,210
01/02/2024,10:28,20.45,20.45,20.4447,20.4447,4185
01/02/2024,10:29,20.45,20.45,20.445,20.445,10054
01/02/2024,10:30,20.4401,20.4523,20.4401,20.4501,8868
01/02/2024,10:31,20.45,20.455,20.45,20.455,20894
01/02/2024,10:32,20.4501,20.4505,20.45,20.45,9300
01/02/2024,10:34,20.45,20.4523,20.4478,20.45,11944
01/02/2024,10:37,20.4393,20.4393,20.4393,20.4393,100
01/02/2024,10:38,20.42,20.42,20.36,20.3823,134173
01/02/2024,10:39,20.38,20.3823,20.37,20.3701,32921
01/02/2024,10:40,20.38,20.38,20.38,20.38,4201
01/02/2024,10:41,20.38,20.38,20.3799,20.38,7980
01/02/2024,10:42,20.38,20.385,20.38,20.385,3325
01/02/2024,10:43,20.38,20.39,20.38,20.39,4600
01/02/2024,10:44,20.391,20.4,20.39,20.4,6876
01/02/2024,10:45,20.4,20.4,20.39,20.39,3239
01/02/2024,10:46,20.395,20.395,20.395,20.395,100
01/02/2024,10:47,20.39,20.39,20.38,20.39,4439
01/02/2024,10:48,20.39,20.3999,20.3885,20.39,11990
01/02/2024,10:49,20.38,20.38,20.38,20.38,100
01/02/2024,10:51,20.38,20.3847,20.377,20.3847,11186
01/02/2024,10:52,20.3814,20.3814,20.38,20.38,310
01/02/2024,10:53,20.3899,20.39,20.3877,20.3877,3580
01/02/2024,10:54,20.39,20.39,20.3833,20.39,3650
01/02/2024,10:56,20.3839,20.3839,20.3839,20.3839,160
01/02/2024,10:58,20.3884,20.39,20.3884,20.39,225
01/02/2024,10:59,20.39,20.39,20.39,20.39,2300
01/02/2024,11:01,20.4,20.4,20.4,20.4,5500
01/02/2024,11:02,20.4005,20.4005,20.4,20.4,370
01/02/2024,11:03,20.4,20.4,20.4,20.4,400
01/02/2024,11:04,20.4,20.4066,20.3968,20.4066,21142
01/02/2024,11:06,20.41,20.43,20.41,20.4205,8200
01/02/2024,11:07,20.426,20.426,20.426,20.426,100
01/02/2024,11:08,20.44,20.44,20.44,20.44,3999
01/02/2024,11:09,20.4398,20.4515,20.4398,20.45,3080
01/02/2024,11:10,20.45,20.455,20.45,20.455,2100
01/02/2024,11:11,20.465,20.4699,20.465,20.465,1844
01/02/2024,11:12,20.4715,20.475,20.4699,20.47,4344
01/02/2024,11:13,20.4611,20.4611,20.46,20.46,4360
01/02/2024,11:15,20.459,20.46,20.459,20.46,7830
01/02/2024,11:16,20.46,20.46,20.46,20.46,555
01/02/2024,11:17,20.4602,20.4602,20.46,20.46,2800
01/02/2024,11:18,20.4543,20.4543,20.4524,20.4524,650
01/02/2024,11:21,20.4599,20.4625,20.4527,20.4625,7921
01/02/2024,11:23,20.4507,20.4623,20.4507,20.4623,9840
01/02/2024,11:24,20.46,20.46,20.46,20.46,200
01/02/2024,11:29,20.46,20.46,20.46,20.46,3100
01/02/2024,11:31,20.45,20.455,20.44,20.455,9118
01/02/2024,11:32,20.4523,20.4523,20.4457,20.4523,20166
01/02/2024,11:33,20.45,20.4501,20.45,20.45,7588
01/02/2024,11:34,20.445,20.445,20.445,20.445,200
01/02/2024,11:36,20.4499,20.4538,20.4499,20.4538,6000
01/02/2024,11:37,20.455,20.455,20.4499,20.4499,1775
01/02/2024,11:38,20.4477,20.46,20.444,20.4552,11633
01/02/2024,11:39,20.4501,20.4501,20.45,20.45,4337
01/02/2024,11:40,20.45,20.45,20.4477,20.4477,4680
01/02/2024,11:41,20.45,20.455,20.4499,20.455,13646
01/02/2024,11:44,20.45,20.45,20.45,20.45,380
01/02/2024,11:46,20.4585,20.4599,20.4585,20.4599,4389
01/02/2024,11:51,20.4681,20.4681,20.4681,20.4681,264
01/02/2024,11:59,20.465,20.465,20.465,20.465,100
01/02/2024,12:03,20.465,20.465,20.465,20.465,100
01/02/2024,12:05,20.465,20.465,20.465,20.465,200
01/02/2024,12:08,20.465,20.465,20.465,20.465,100
01/02/2024,12:09,20.465,20.465,20.465,20.465,100
01/02/2024,12:10,20.4615,20.4615,20.46,20.46,10998
01/02/2024,12:11,20.4599,20.4623,20.454,20.4623,15508
01/02/2024,12:12,20.46,20.46,20.4557,20.46,15443
01/02/2024,12:13,20.4623,20.4623,20.4623,20.4623,3000
01/02/2024,12:14,20.46,20.4642,20.4597,20.4597,31833
01/02/2024,12:15,20.45,20.45,20.45,20.45,200
01/02/2024,12:16,20.45,20.4542,20.45,20.4542,8000
01/02/2024,12:17,20.455,20.455,20.45,20.45,2800
01/02/2024,12:18,20.43,20.43,20.43,20.43,200
01/02/2024,12:20,20.4301,20.4301,20.4301,20.4301,200
01/02/2024,12:22,20.4399,20.4399,20.434,20.4399,11484
01/02/2024,12:23,20.435,20.435,20.435,20.435,300
01/02/2024,12:24,20.44,20.44,20.44,20.44,3935
01/02/2024,12:27,20.44,20.4445,20.44,20.4445,11357
01/02/2024,12:31,20.4415,20.4415,20.44,20.44,390
01/02/2024,12:34,20.4495,20.45,20.4479,20.4479,3330
