Date,Close/Last,Volume,Open,High,Low
06/12/2025,$303.16,2584667,$301.67,$303.18,$300.066
06/11/2025,$301.72,3312510,$300.20,$303.20,$297.19
06/10/2025,$300.43,4698701,$300.01,$302.409,$299.45
06/09/2025,$304.78,4059771,$303.73,$305.23,$299.8464
06/06/2025,$307.36,2622767,$307.15,$309.86,$306.81
06/05/2025,$308.98,3817236,$312.00,$312.00,$307.77
06/04/2025,$311.57,2069546,$313.00,$314.2499,$309.48
06/03/2025,$312.39,3028181,$311.84,$314.39,$309.15
06/02/2025,$312.68,2577048,$310.73,$313.245,$309.3901
05/30/2025,$313.85,4062917,$312.00,$315.29,$310.58
05/29/2025,$311.86,2248937,$312.37,$313.4959,$310.04
05/28/2025,$312.84,1935645,$314.95,$315.65,$312.19
05/27/2025,$314.95,2527016,$314.51,$315.6165,$312.16
05/23/2025,$314.57,2701615,$315.07,$315.65,$313.03
05/22/2025,$314.31,2642001,$316.12,$316.62,$312.63
05/21/2025,$316.44,2386740,$317.52,$318.67,$315.17
05/20/2025,$319.80,2034967,$321.22,$321.72,$318.85
05/19/2025,$321.23,2749002,$318.11,$321.61,$318.03
05/16/2025,$318.61,2637287,$314.37,$318.66,$313.37
05/15/2025,$314.48,2928718,$307.80,$315.13,$307.80
05/14/2025,$307.50,2657043,$308.24,$308.9086,$305.69
05/13/2025,$308.69,3018600,$311.65,$312.165,$308.4499
05/12/2025,$311.92,4137861,$312.01,$312.18,$305.01
05/09/2025,$313.68,1917830,$312.90,$314.25,$311.1675
05/08/2025,$313.49,2131496,$318.08,$319.66,$313.18
05/07/2025,$318.13,2726245,$316.48,$319.24,$316.12
05/06/2025,$316.79,2691660,$315.11,$317.24,$312.87
05/05/2025,$315.72,3534301,$313.00,$317.40,$310.70
05/02/2025,$311.96,3994578,$313.55,$315.97,$310.68
05/01/2025,$313.64,5186858,$313.155,$319.25,$311.60
04/30/2025,$319.65,5564594,$316.79,$321.00,$313.10
04/29/2025,$314.50,3164531,$316.06,$316.7277,$313.00
04/28/2025,$316.81,2578256,$317.70,$318.02,$314.25
04/25/2025,$316.74,2283147,$316.50,$321.78,$315.03
04/24/2025,$316.22,2479485,$318.43,$318.89,$313.53
04/23/2025,$318.48,3210134,$318.50,$319.895,$314.79
04/22/2025,$319.08,4200708,$311.76,$320.00,$311.19
04/21/2025,$308.72,2669905,$311.00,$311.28,$305.115
04/17/2025,$311.30,2728460,$309.22,$312.99,$307.13
04/16/2025,$309.10,3099078,$313.57,$314.29,$307.37
04/15/2025,$312.48,2901367,$316.13,$317.195,$311.84
04/14/2025,$316.07,4068713,$312.43,$318.20,$311.13
04/11/2025,$309.90,4440059,$306.47,$310.89,$303.9601
04/10/2025,$306.78,6049543,$301.34,$307.63,$296.915
04/09/2025,$303.96,8265701,$297.41,$311.65,$296.715
04/08/2025,$299.83,5562462,$303.78,$308.25,$294.92
04/07/2025,$299.89,7725857,$292.60,$304.88,$290.50
04/04/2025,$300.11,8831090,$314.57,$314.96,$299.30
04/03/2025,$318.27,7023851,$311.38,$319.72,$311.2975
04/02/2025,$311.58,2776755,$312.71,$313.93,$309.83
04/01/2025,$313.63,2411454,$313.08,$314.78,$310.95
03/31/2025,$312.37,4418823,$305.00,$313.20,$304.44
03/28/2025,$307.09,3211862,$309.00,$310.00,$305.985
03/27/2025,$312.69,3119455,$315.16,$316.64,$310.68
03/26/2025,$313.58,2624998,$307.90,$314.06,$307.79
03/25/2025,$306.92,2657170,$306.93,$308.66,$304.03
03/24/2025,$305.67,3443511,$306.30,$307.95,$304.53
03/21/2025,$305.44,6016138,$306.39,$307.00,$301.64
03/20/2025,$307.00,2723487,$308.03,$309.66,$305.51
03/19/2025,$306.92,2812212,$303.99,$308.08,$303.63
03/18/2025,$303.60,2435418,$304.97,$304.97,$302.27
03/17/2025,$303.97,2758628,$301.30,$305.23,$300.03
03/14/2025,$299.83,2696979,$296.97,$300.67,$295.71
