Date,Close/Last,Volume,Open,High,Low
06/12/2025,$163.18,6509891,$161.97,$163.31,$161.675
06/11/2025,$162.11,5960052,$162.63,$162.7699,$161.69
06/10/2025,$162.84,7680015,$162.69,$163.51,$161.92
06/09/2025,$162.56,6544199,$163.39,$164.016,$162.07
06/06/2025,$164.02,5697877,$163.29,$165.24,$163.28
06/05/2025,$162.80,10352290,$165.43,$165.44,$162.51
06/04/2025,$165.95,4939333,$166.69,$168.045,$165.923
06/03/2025,$166.85,6223447,$166.78,$167.405,$165.90
06/02/2025,$167.78,7574428,$169.02,$169.04,$166.23
05/30/2025,$169.89,12587540,$168.75,$170.99,$168.60
05/29/2025,$168.56,4842554,$166.74,$168.99,$166.44
05/28/2025,$167.36,5385942,$167.65,$168.84,$167.06
05/27/2025,$167.76,11423790,$165.27,$167.98,$165.27
05/23/2025,$165.86,5349868,$164.825,$166.2196,$163.48
05/22/2025,$165.03,6245571,$164.44,$166.20,$164.02
05/21/2025,$165.43,6424153,$164.82,$166.365,$164.62
05/20/2025,$165.64,5576561,$164.61,$166.00,$164.60
05/19/2025,$164.77,8120219,$163.47,$165.15,$163.41
05/16/2025,$163.28,7100784,$162.65,$163.43,$161.85
05/15/2025,$162.41,8727316,$159.59,$162.908,$158.70
05/14/2025,$158.02,5988905,$158.12,$159.16,$157.57
05/13/2025,$158.73,7780827,$160.02,$160.72,$157.36
05/12/2025,$160.90,7378380,$157.425,$161.05,$156.69
05/09/2025,$157.66,6453232,$158.02,$159.1254,$157.41
05/08/2025,$158.65,7230806,$158.38,$160.00,$158.01
05/07/2025,$159.29,6430156,$159.02,$160.05,$158.54
05/06/2025,$159.25,7703843,$158.04,$159.71,$157.6459
05/05/2025,$158.83,7576219,$160.89,$160.91,$158.02
05/02/2025,$160.52,5750165,$160.925,$161.81,$159.90
05/01/2025,$159.98,6792815,$160.655,$161.345,$159.05
04/30/2025,$162.57,12475540,$162.45,$163.16,$159.95
04/29/2025,$162.26,8266154,$161.285,$162.39,$159.20
04/28/2025,$161.85,8126981,$161.04,$162.56,$160.39
04/25/2025,$161.02,12893200,$159.88,$161.80,$157.77
04/24/2025,$159.53,20077670,$160.50,$160.955,$156.58
04/23/2025,$165.73,9309164,$166.40,$166.61,$163.11
04/22/2025,$167.88,7907421,$165.86,$168.77,$164.535
04/21/2025,$165.75,8062360,$169.89,$169.95,$164.28
04/17/2025,$170.63,7227061,$167.53,$171.65,$167.35
04/16/2025,$166.39,5897634,$169.285,$169.68,$165.79
04/15/2025,$168.47,8764978,$169.14,$170.16,$168.28
04/14/2025,$169.13,9877411,$167.04,$170.11,$165.78
04/11/2025,$166.91,8603200,$163.37,$168.015,$162.62
04/10/2025,$163.56,10581570,$162.90,$165.07,$160.75
04/09/2025,$162.32,10670210,$157.36,$164.68,$156.69
04/08/2025,$158.39,11541110,$162.31,$163.28,$156.71
04/07/2025,$160.23,15708010,$163.66,$164.695,$159.19
04/04/2025,$163.75,13454210,$171.765,$173.60,$163.47
04/03/2025,$172.39,9393270,$174.23,$174.80,$170.73
04/02/2025,$169.50,6274548,$170.07,$170.88,$168.31
04/01/2025,$170.56,7021507,$170.57,$171.05,$169.06
03/31/2025,$170.42,11520450,$168.1015,$171.14,$168.1015
03/28/2025,$168.03,5479306,$169.38,$169.71,$167.62
03/27/2025,$168.71,6211735,$167.87,$169.03,$166.62
03/26/2025,$166.58,7757259,$163.35,$166.82,$162.99
03/25/2025,$162.85,8366736,$165.30,$165.37,$162.195
03/24/2025,$165.65,6102109,$166.43,$166.8699,$165.36
03/21/2025,$166.69,16027250,$167.14,$168.14,$164.12
03/20/2025,$167.55,8789167,$168.89,$169.205,$166.03
03/19/2025,$168.57,7569165,$167.87,$168.745,$167.11
03/18/2025,$167.71,6100242,$170.07,$170.26,$167.58
03/17/2025,$169.76,9931678,$168.37,$171.09,$168.13
03/14/2025,$167.97,6790624,$167.79,$168.59,$166.62
03/13/2025,$168.59,6609126,$167.70,$169.29,$167.2779
03/12/2025,$168.37,10159140,$169.70,$171.83,$167.77
03/11/2025,$173.12,11032290,$175.825,$175.99,$172.32
03/10/2025,$176.26,11047020,$176.755,$179.99,$175.83
03/07/2025,$175.95,9566763,$174.09,$178.89,$174.05
03/06/2025,$174.66,6702490,$174.89,$175.84,$172.8439
03/05/2025,$174.61,6989086,$173.38,$175.87,$173.02
03/04/2025,$173.18,12118020,$176.75,$179.99,$172.91
03/03/2025,$175.59,7615570,$173.58,$176.29,$173.51
02/28/2025,$173.84,10240070,$173.58,$174.65,$171.85
02/27/2025,$171.97,5466965,$170.85,$173.09,$170.63
02/26/2025,$171.30,5519041,$172.28,$172.65,$170.65
02/25/2025,$172.65,7314856,$171.28,$173.95,$170.80
02/24/2025,$170.54,8564057,$170.22,$172.98,$169.79
